brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,price,engine_liters,cylinders,turbo,horsepower
Hyundai,Santa Fe SEL Plus 2.4,2019,49500.0,Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Gray,None reported,28000.0,2.3,4.0,False,185
Mercedes-Benz,E-Class E 350,2012,31130.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,23500.0,2.4,6.0,False,302
Ford,F-250 XLT SuperCab Super Duty,2008,149460.0,Diesel,350.0HP 6.4L 8 Cylinder Engine Diesel Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,12240.0,3.8,8.0,False,350
Mercury,Marauder Base,2003,90000.0,Gasoline,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Blue,Beige,At least 1 accident or damage reported,15500.0,5.0,8.0,False,302
Ford,Transit-350 XLT,2021,48000.0,E85 Flex Fuel,275.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,57000.0,4.2,6.0,False,275
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,98000.0,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,15500.0,3.0,6.0,False,248
Volkswagen,Arteon SEL R-Line,2022,18655.0,Gasoline,2.0 Liter TSI,Automatic,Oryx White Prl,Titan Black,None reported,38698.0,3.0,-1.0,False,-1
Chevrolet,Suburban 2500 LS,2006,60000.0,Gasoline,325.0HP 8.1L 8 Cylinder Engine Gasoline Fuel,A/T,Brown,Brown,At least 1 accident or damage reported,24950.0,3.0,8.0,False,325
Chevrolet,Suburban 1500 LT,2014,169500.0,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Purple,Brown,None reported,15000.0,5.7,8.0,False,320
Mitsubishi,Eclipse GS,2008,189500.0,Gasoline,162.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Black,None reported,6000.0,4.4,4.0,False,162
Toyota,Land Cruiser Base,2016,91000.0,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Brown,None reported,68500.0,3.0,8.0,False,381
Genesis,G80 2.5T,2022,7396.0,Gasoline,2.5L I4 16V PDI DOHC Turbo,8-Speed Automatic,Black Forest Green,Black,None reported,41299.0,2.4,-1.0,True,-1
Toyota,Tundra SR5 Access Cab,2004,229450.0,Gasoline,240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,8250.0,3.5,8.0,False,240
Maserati,Quattroporte Modena Q4,2023,8603.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,8-Speed Automatic,Blu,Tan,None reported,125900.0,4.4,6.0,True,-1
Audi,RS 5 4.2,2014,49098.0,Gasoline,450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,44900.0,3.0,8.0,False,450
Nissan,Rogue S,2022,21212.0,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Gun Metallic,Charcoal,None reported,28906.0,3.2,-1.0,True,-1
Porsche,Panamera 4S,2010,62743.0,Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Gray,None reported,28600.0,3.0,8.0,False,400
BMW,M440 i xDrive,2021,24300.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Beige,None reported,49999.0,2.0,6.0,False,382
Cadillac,Escalade Premium,2010,104000.0,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Gray,–,None reported,19500.0,2.0,8.0,False,403
Volvo,S60 T6 Momentum,2020,46250.0,Gasoline,2.0L I4 16V GDI DOHC,8-Speed Automatic,White,Charcoal,At least 1 accident or damage reported,27800.0,3.0,-1.0,False,-1
Mazda,CX-9 Touring Plus,2023,1930.0,Gasoline,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,Jet Black Mica,Black,At least 1 accident or damage reported,40655.0,3.6,-1.0,True,-1
Chrysler,Pacifica Hybrid Touring L,2022,61494.0,Hybrid,3.6L V6 24V MPFI DOHC Hybrid,Automatic CVT,Bright White Clearcoat,Black,None reported,35850.0,3.6,6.0,False,-1
Jeep,Wrangler Unlimited Sport,2020,24040.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Black Clearcoat,Black,None reported,35273.0,4.8,-1.0,True,-1
Toyota,Highlander Base,2001,231581.0,Gasoline,220.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,Beige,None reported,4300.0,5.7,6.0,False,220
Ford,F-150 Lariat,2019,81000.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,38500.0,3.7,6.0,False,375
Ford,Bronco,1974,6217.0,,,–,Dark Gray Metallic,–,None reported,115000.0,5.0,-1.0,False,-1
Land,Rover Discovery Sport S R-Dynamic,2022,23568.0,Gasoline,2.0 Liter,Automatic,Firenze Red,Ebony,None reported,44998.0,2.4,-1.0,False,-1
Mazda,Mazda6 Touring,2020,78700.0,Gasoline,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,18000.0,3.6,4.0,False,187
Kia,Optima EX,2015,109580.0,Gasoline,192.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Black,At least 1 accident or damage reported,11900.0,2.0,4.0,False,192
Lexus,RX 350 Base,2009,178000.0,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,At least 1 accident or damage reported,4500.0,6.7,6.0,False,270
Mitsubishi,Outlander Sport 2.4 SE,2016,131193.0,Gasoline,2.4L I4 16V MPFI DOHC,Automatic CVT,Black,Black,None reported,11970.0,6.7,-1.0,False,-1
Mercedes-Benz,GLS 450 Base 4MATIC,2017,106000.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,25900.0,4.6,6.0,False,362
Audi,A3 2.0T Premium,2019,28211.0,Gasoline,184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,27500.0,4.4,4.0,False,184
Audi,A4 2.0T Premium,2015,91403.0,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,Silver,Gray,None reported,14998.0,4.6,-1.0,True,-1
Mercedes-Benz,CLA-Class CLA 250,2016,88600.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,16800.0,2.4,4.0,False,208
INFINITI,FX50 Base,2011,84900.0,Gasoline,390.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,22450.0,4.2,8.0,False,390
Kia,K5 EX,2021,11154.0,Gasoline,1.6L I4 16V GDI DOHC Turbo,8-Speed Automatic,Glacial White Pearl,Black,None reported,28998.0,6.2,-1.0,True,-1
BMW,X5 eDrive xDrive40e,2018,45090.0,Plug-In Hybrid,313.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,30750.0,4.0,4.0,False,313
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,33272.0,Gasoline,192.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,11900.0,5.6,4.0,False,192
Jeep,Wrangler SE,2003,71000.0,Gasoline,150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Gray,None reported,12499.0,1.4,4.0,False,150
Kia,Telluride SX,2020,55400.0,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,White,None reported,36500.0,3.0,6.0,False,291
Land,Rover LR4 Lux,2012,141525.0,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,14490.0,3.7,8.0,False,375
Jaguar,XKR Base,2007,50000.0,Gasoline,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,At least 1 accident or damage reported,21900.0,5.5,8.0,False,420
BMW,M4 Base,2020,29140.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,Orange,Orange,None reported,71995.0,3.0,6.0,False,425
BMW,M340 i xDrive,2022,9000.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,White,Red,None reported,56900.0,2.5,6.0,False,382
Mercedes-Benz,AMG GLE 53 AMG GLE 53,2021,5595.0,Hybrid,3.0 Liter Turbo,Automatic,designo Diamond White Metallic,Black,None reported,83598.0,6.0,-1.0,True,-1
RAM,1500 Laramie,2022,34121.0,Gasoline,5.7L V8 16V MPFI OHV,Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,48190.0,4.0,8.0,False,-1
BMW,ALPINA B7 Base,2013,36750.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,35999.0,4.0,8.0,False,445
Mercedes-Benz,C-Class C280 4MATIC,2007,49626.0,Gasoline,228.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,–,None reported,12000.0,3.0,6.0,False,228
Jeep,Compass High Altitude,2017,45000.0,Gasoline,172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,16500.0,2.0,4.0,False,172
Toyota,Highlander Hybrid XLE,2019,69350.0,Hybrid,306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Gray,None reported,36000.0,3.8,6.0,False,306
BMW,X5 M Base,2022,8307.0,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Blue Metallic,Sakhir Orange,None reported,98900.0,3.5,8.0,True,-1
BMW,M3 Base,2023,4106.0,Gasoline,3.0L I6 24V GDI DOHC Twin Turbo,6-Speed Manual,Isle of Man Green Metallic,Kyalami Orange,None reported,84645.0,2.4,-1.0,True,-1
BMW,M3 Base,1999,184700.0,Gasoline,240.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,Gray,None reported,36950.0,3.7,6.0,False,240
Maserati,Quattroporte S Q4 GranLusso,2018,57500.0,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Brown,None reported,41900.0,3.0,6.0,False,424
Acura,RDX Advance Package,2021,29000.0,Gasoline,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,39650.0,-1.0,4.0,False,272
Mercedes-Benz,GLA-Class GLA 250 4MATIC,2015,61675.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,19000.0,4.0,4.0,False,208
Mercedes-Benz,Sprinter 3500XD High Roof,2021,33300.0,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,7-Speed A/T,White,Black,None reported,45000.0,6.2,6.0,False,188
Cadillac,XTS Luxury,2014,62950.0,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,At least 1 accident or damage reported,17498.0,2.7,6.0,False,304
Chevrolet,Camaro 2LT,2015,56675.0,Gasoline,323.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,19750.0,2.0,6.0,False,323
Porsche,Cayenne S,2013,92000.0,Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Gray,None reported,23000.0,6.7,8.0,False,400
Dodge,Magnum R/T,2005,96000.0,Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Gold,At least 1 accident or damage reported,12000.0,4.6,8.0,False,340
INFINITI,Q70 3.7X,2014,33500.0,Gasoline,330.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,23000.0,5.3,6.0,False,330
Land,Rover Range Rover SV Autobiography Dynamic SWB,2020,16754.0,Gasoline,557.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,112000.0,2.0,8.0,False,557
Toyota,Camry Hybrid Base,2007,53249.0,Hybrid,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Silver,Gray,At least 1 accident or damage reported,9250.0,3.6,4.0,False,147
GMC,Acadia SLT-1,2016,119000.0,Gasoline,281.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Brown,None reported,12500.0,3.4,6.0,False,281
Lincoln,Corsair Reserve,2021,29336.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Black,Sandstone,None reported,36999.0,4.4,-1.0,True,-1
RAM,2500 SLT,2017,86000.0,Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Gray,Gray,At least 1 accident or damage reported,41000.0,2.5,6.0,False,350
RAM,3500 Laramie,2014,177000.0,Diesel,385.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,–,At least 1 accident or damage reported,40500.0,2.5,6.0,False,385
Mercedes-Benz,GL-Class GL 450 4MATIC,2013,93500.0,Gasoline,362.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,15900.0,3.0,8.0,False,362
BMW,M5 Base,2018,47700.0,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,White,At least 1 accident or damage reported,54999.0,3.8,8.0,False,600
Ford,Mustang SVT Cobra,2003,97496.0,Gasoline,390.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Gray,None reported,24500.0,6.6,8.0,False,390
Acura,ILX Premium Package,2022,16120.0,Gasoline,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Gray,Ebony,None reported,26599.0,4.4,-1.0,False,-1
Buick,Rainier CXL,2005,147589.0,Gasoline,275.0HP 4.2L Straight 6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,2800.0,3.7,6.0,False,275
Cadillac,Escalade Luxury,2013,95570.0,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,At least 1 accident or damage reported,22000.0,4.8,8.0,False,403
Mercedes-Benz,S-Class S 560,2018,45791.0,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Gray,None reported,52000.0,2.3,8.0,False,463
INFINITI,QX80 Base,2016,60000.0,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Beige,At least 1 accident or damage reported,25950.0,3.8,8.0,False,400
Buick,Encore Preferred,2019,50000.0,Gasoline,138.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,18795.0,3.5,4.0,False,138
Mercedes-Benz,GLS 450 Base 4MATIC,2019,33481.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,9-Speed Automatic,Black,Almond Beige,None reported,43999.0,4.7,6.0,True,-1
Jeep,Liberty Limited,2010,107000.0,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,None reported,5900.0,6.0,6.0,False,210
Mercedes-Benz,S-Class S 63 AMG,2011,60000.0,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,37000.0,3.0,8.0,False,536
Audi,A8 L 3.0T,2016,55000.0,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Brown,None reported,28000.0,2.3,6.0,False,333
Mazda,CX-30 2.5 S Select Package,2022,4004.0,Gasoline,186.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,25500.0,1.4,4.0,False,186
Bentley,Continental GT Speed,2009,57800.0,Gasoline,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,None reported,59400.0,3.0,12.0,False,600
Bentley,Continental GT V8,2022,10972.0,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,Red,Black,None reported,217950.0,2.0,8.0,True,-1
Bentley,Flying Spur V8,2022,27858.0,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic with Auto-Shift,–,–,None reported,197750.0,4.4,8.0,True,-1
Porsche,911 Carrera 4S,2018,31678.0,Gasoline,3.0 Liter,–,Silver,–,None reported,106798.0,4.0,-1.0,False,-1
Volkswagen,Golf R 4-Door,2016,47144.0,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,29950.0,1.6,4.0,False,292
Hyundai,Genesis Coupe 3.8 Grand Touring,2011,165454.0,Gasoline,306.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,4000.0,2.0,6.0,False,306
Ford,F-150 XLT,2018,98000.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,–,At least 1 accident or damage reported,25500.0,3.3,6.0,False,375
Hyundai,Tucson Limited,2020,39913.0,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,Black Noir Pearl,Beige,None reported,22749.0,6.2,-1.0,False,-1
Ford,Mustang V6,2013,147191.0,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,At least 1 accident or damage reported,12990.0,5.5,6.0,False,305
BMW,435 i,2014,53600.0,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,25980.0,3.9,6.0,False,300
Dodge,Challenger R/T,2010,100100.0,,,Transmission w/Dual Shift Mode,Purple,Black,None reported,17000.0,6.2,-1.0,False,-1
Mercedes-Benz,AMG G 63 Base,2020,1750.0,Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,Black,None reported,199995.0,3.8,8.0,False,577
Dodge,Challenger SRT Hellcat,2020,2750.0,Gasoline,797.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Orange,Black,None reported,104500.0,6.0,8.0,False,797
Porsche,Boxster Base,2013,40800.0,Gasoline,265.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Brown,Beige,None reported,35500.0,4.4,6.0,False,265
Porsche,Macan Base,2018,36798.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,7-Speed Automatic with Auto-Shift,Volcano Grey Metallic,Black,At least 1 accident or damage reported,49500.0,2.5,-1.0,True,-1
Ford,F-250 XL,2021,77699.0,Diesel,6.7L V8 32V DDI OHV Turbo Diesel,Automatic,White,Medium Earth Gray,None reported,49883.0,3.6,8.0,True,-1
Ford,Mustang GT,2010,87500.0,Gasoline,315.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,14900.0,6.2,8.0,False,315
Chevrolet,Suburban LT,2020,93000.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,38500.0,3.8,8.0,False,355
Mercedes-Benz,C-Class C 300 4MATIC,2018,41515.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Black,Black,None reported,28251.0,3.5,-1.0,True,-1
RAM,1500 Classic Warlock,2019,19000.0,E85 Flex Fuel,3.6L V6 24V MPFI DOHC Flexible Fuel,8-Speed Automatic,Diamond Black,Diesel Gray / Black,At least 1 accident or damage reported,33242.0,3.0,6.0,False,-1
Toyota,Sequoia SR5,2023,1539.0,Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,Green,Boulder,At least 1 accident or damage reported,76373.0,3.5,6.0,True,-1
BMW,M5 Base,2018,31090.0,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,At least 1 accident or damage reported,68000.0,2.5,8.0,False,600
Mazda,Mazda3 FWD w/Premium Package,2022,21701.0,Gasoline,2.5L I4 16V,6-Speed Automatic,Soul Red Crystal Metallic,Black,None reported,25099.0,5.3,-1.0,False,-1
Nissan,Rogue SL,2016,97726.0,Gasoline,"2.5L I-4 DOHC, variable valve control, regular unleaded, engine",Variable,Gun Metallic,Charcoal,At least 1 accident or damage reported,15998.0,6.0,-1.0,False,-1
Audi,A7 3.0T Prestige,2015,73000.0,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,White,Gray,None reported,34000.0,5.7,6.0,False,240
Genesis,G80 3.8,2020,23600.0,Gasoline,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,31900.0,5.0,6.0,False,311
Rolls-Royce,Ghost Base,2016,8755.0,Gasoline,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,166900.0,6.5,12.0,False,563
BMW,M6 Gran Coupe Base,2019,20500.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,67900.0,4.6,8.0,False,560
Ford,Mustang V6,2013,57912.0,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,18750.0,3.4,6.0,False,305
BMW,650 i,2009,35000.0,Gasoline,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,18500.0,3.0,8.0,False,360
Lincoln,MKC Reserve,2019,35469.0,Gasoline,2.3L I4 16V GDI DOHC Turbo,6-Speed Automatic,Black,–,None reported,30890.0,4.7,-1.0,True,-1
Kia,Telluride EX,2022,14676.0,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Dark Moss,Gray,None reported,46787.0,4.4,6.0,False,-1
Lincoln,Navigator Reserve,2022,13750.0,Gasoline,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Beige,None reported,79999.0,2.0,6.0,False,440
Mercedes-Benz,S-Class S 550 4MATIC,2015,13300.0,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,62500.0,4.4,8.0,False,449
Chevrolet,Suburban LT,2017,117000.0,Gasoline,6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,None reported,27000.0,3.5,8.0,False,-1
Audi,A7 55 Premium,2020,27100.0,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,White,Black,None reported,50000.0,2.0,6.0,False,335
Ford,Mustang EcoBoost Premium,2017,89352.0,Gasoline,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,At least 1 accident or damage reported,20989.0,3.0,4.0,False,310
Chevrolet,Cruze LS,2018,100000.0,Gasoline,153.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,8500.0,3.0,4.0,False,153
Land,Rover Range Rover HSE SWB,2020,16000.0,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Silver,Black,None reported,75500.0,3.8,6.0,False,395
Land,Rover Defender S,2023,15200.0,Gasoline,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,62999.0,5.7,4.0,False,296
BMW,650 i,2012,39960.0,Gasoline,400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Brown,None reported,38995.0,-1.0,8.0,False,400
Ford,Mustang Base,2008,119000.0,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,13500.0,5.0,6.0,False,210
Kia,K5 GT-Line,2022,10971.0,Gasoline,1.6L I4 16V GDI DOHC Turbo,8-Speed Automatic,Passion Red,Black,None reported,29998.0,3.0,-1.0,True,-1
Mazda,Mazda3 i Touring,2014,118500.0,Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,M/T,Silver,Black,At least 1 accident or damage reported,11500.0,2.0,4.0,False,155
Kia,Stinger GT1,2021,8288.0,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,45899.0,5.3,6.0,False,365
Chevrolet,Camaro ZL1,2023,2950.0,Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Gray,None reported,74500.0,3.5,8.0,False,650
Mercedes-Benz,AMG G 63 Base,2017,73000.0,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,At least 1 accident or damage reported,78000.0,2.9,8.0,False,563
Ford,Thunderbird Premium,2005,82000.0,Gasoline,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gold,White,None reported,14900.0,3.5,8.0,False,280
GMC,Sierra 1500 SLT,2017,49105.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,39750.0,3.0,8.0,False,420
Kia,Telluride LX,2023,5500.0,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,40000.0,3.0,6.0,False,291
Chevrolet,Corvette Base,2005,36700.0,Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,26000.0,4.4,8.0,False,400
BMW,650 i,2014,40000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,34000.0,5.5,8.0,False,445
Nissan,Rogue SL,2017,78110.0,Gasoline,170.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,17500.0,5.0,4.0,False,170
GMC,Acadia Denali,2015,74864.0,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Beige,None reported,19780.0,3.0,6.0,False,288
Cadillac,Escalade Premium Luxury Platinum,2021,15350.0,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,93500.0,3.5,8.0,False,420
Nissan,GT-R Premium,2010,46100.0,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,72999.0,2.5,6.0,False,485
Toyota,Highlander XLE,2018,61454.0,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,31000.0,4.0,6.0,False,295
BMW,X7 xDrive40i,2020,45241.0,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Blue,Brown,None reported,54500.0,5.7,6.0,False,335
INFINITI,QX60 Base,2018,48000.0,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,None reported,27000.0,5.2,6.0,False,295
